"","simulacao","acoes_educacionais","consultas","absenteismo","alto_risco","acoes_altorisco","consultas_altorisco","indireta_enf","indireta_med","ferias","feriados","coleta_ex","visita","consulta_puerp","consulta_cd","enf_acoes","enf_coleta","enf_coleta_cito","enf_prenatal","enf_imunizacao","enf_puerperal","enf_visita","enf_cd","ist_enf","ist_med","todos"
"1",1,29.3136628018692,29.1043410135899,18.5547836832702,0.120582692022435,31.0892836982384,33.7294482195284,0.566039153153542,0.639551129215397,6.31164024490863,7.1918566301465,14.658875388559,50.8735397248529,22.4220474716276,27.2054047393613,0.455282734753564,0.763683159905486,0.339064922416583,0.510743773821741,0.797329406859353,0.486773357400671,0.549112338898703,0.533801112929359,0.180278484150767,0.164416312065441,1
"2",2,36.8245770316571,33.9080039900728,18.3122536204755,0.194253904744983,41.6563756391406,44.841947631212,0.559608822886366,0.588656733185053,5.95538172498345,7.51654391549528,14.8678008560091,54.1315131052397,24.800318791531,21.8421227089129,0.459361748420633,0.709213944175281,0.275665820483118,0.460685628163628,0.723243980063126,0.493366539571434,0.480223065358587,0.466611144482158,0.156586525577586,0.170539556641597,1
"3",3,31.1346538271755,27.402772201458,18.3868862725794,0.137932379194535,36.8729501683265,40.7568285358138,0.55573214807082,0.511961797671393,6.96876177564263,4.96984921954572,23.0538126674946,50.9805779485032,28.404845893383,24.2170725250617,0.514772332948633,0.7792304021772,0.392939237877727,0.501653226651251,0.726879065087996,0.494151385361329,0.493375900876708,0.475367572926916,0.167240682907868,0.177495348732919,0
"4",4,38.245261060074,37.8014535817783,24.2309481576085,0.162624014122412,41.143932826817,39.775924324058,0.579321285989135,0.62675278512761,4.90243594348431,6.23811528645456,14.9301066924818,59.1615488240495,29.9207697063684,26.401046931278,0.477477002493106,0.79423444038257,0.30547060277313,0.517325171711855,0.711195533513092,0.530766136222519,0.466052091144957,0.49388607586734,0.178384788159747,0.172027289180551,0
"5",5,39.1070092644077,37.7160873659886,23.8852369002998,0.118350240192376,30.8810155559331,33.60834310879,0.511067811783869,0.504467655846383,6.99556426797062,7.61909421160817,11.8855185445864,50.6460717646405,22.4423468695022,29.6387134958059,0.547143078688532,0.73026946214959,0.208864014595747,0.499805243033916,0.728686472657137,0.475027156551369,0.532302671135403,0.52179360575974,0.1804532672395,0.198262326372787,1
"6",6,25.683347490849,32.1683021879289,25.8614842966199,0.165920761832967,27.8217044332996,31.3018913206179,0.607527465245221,0.622198957938235,7.29947404842824,4.03279427718371,15.343321460532,53.899499673862,26.2303872173652,25.7249168702401,0.530013266997412,0.756300805439241,0.334530547913164,0.513373067276552,0.7103734157281,0.466081842198037,0.470809055212885,0.535339891142212,0.17962162574986,0.163816080417018,1
"7",7,32.9215823207051,36.6053818364162,23.1587662510574,0.173469291068614,42.7724220510572,34.4501442066394,0.536421852873173,0.558612419152632,4.3981735156849,4.65399690065533,23.9604877925012,58.0487829889171,24.5878980052657,29.4095175852999,0.52263710803818,0.700354843097739,0.322623127419502,0.466447792062536,0.716109607135877,0.478480438585393,0.478496596519835,0.49451843185816,0.155433115689084,0.178237764106598,0
"8",8,38.3862856659107,29.4310012075584,16.8908274434507,0.149567943299189,25.1657000835985,38.1310320273042,0.626674980355892,0.521510680078063,5.10348546877503,5.03931330051273,23.1276782311033,53.8405792159028,28.483723369427,20.8924479433335,0.490521041187458,0.759746874612756,0.285964721394703,0.498612328106537,0.771635085972957,0.502360904007219,0.504620889015496,0.520911941956729,0.192126878059935,0.151263780239969,1
"9",9,33.2715252169874,25.9844216774218,16.0863409526646,0.186871874378994,36.382413059473,41.7097246949561,0.649297740194015,0.599983664485626,4.0855071041733,7.09106172155589,22.3032504366711,51.1225600377657,27.2703365539201,22.2624736255966,0.545839434023947,0.713633061130531,0.278784183086827,0.50572695415467,0.799684505607002,0.518112839665264,0.50890454039909,0.493322211806662,0.18872238707263,0.161734835221432,0
"10",10,31.8492210295517,31.6079968726262,19.5493472181261,0.183183794445358,44.3510037986562,34.0776229882613,0.515751587075647,0.592787924804725,6.38497186731547,4.28434784337878,10.3265803109389,51.5982982167043,21.9130459823646,22.0636772550642,0.548286328581162,0.780377678805962,0.352043383195996,0.500810586079024,0.758755338075571,0.450193592952564,0.494225317821838,0.528080735285766,0.191174495092127,0.167913794599008,0
"11",11,39.3525001802482,31.9314828678034,29.6154115833342,0.19832988253329,30.3837752668187,34.757580900332,0.57276155736763,0.567314484273084,7.94513754639775,7.58306936640292,19.4685530161951,57.320600617677,22.7157882554457,29.1596175800078,0.494161748932675,0.710465317848138,0.270429824991152,0.517602762486786,0.723524985625409,0.540342839038931,0.537117982516065,0.521775762806647,0.180690458812751,0.185968229314312,0
"12",12,31.8000123428646,30.1140155526809,20.2775392979383,0.166685022506863,44.679201412946,44.2148202122189,0.60255448090611,0.620989941887092,7.3814900116995,5.25983227882534,21.713744495064,52.7686164504848,21.7243788996711,21.9482050440274,0.493189288093708,0.742232136754319,0.295210848469287,0.452401851373725,0.753702958044596,0.515673529775813,0.461613713158295,0.460567939211614,0.182066051964648,0.163353673601523,1
"13",13,35.163559531793,27.7771047805436,25.5776043720543,0.164286014204845,25.7077897526324,37.3538378078956,0.622926207620185,0.630591032514349,6.36597622744739,7.55672339256853,20.7586683391128,59.9049615091644,25.3381608962081,28.9642994478345,0.489247724716552,0.726199377467856,0.24874429567717,0.501505647040904,0.790881692059338,0.501464153639972,0.541628078790382,0.549349631252699,0.187510267214384,0.160452628543135,1
"14",14,33.5895010293461,32.6049659028649,25.7375951558352,0.104514528485015,30.1595286093652,44.5943868602626,0.614835138292983,0.647927409526892,5.37341059185565,6.43504408653826,12.7867874503136,58.6991287325509,23.3385722409002,24.9477997701615,0.529159421799704,0.778990085725673,0.329164743935689,0.453119179443456,0.705343774962239,0.506084076501429,0.460596546111628,0.516473329602741,0.182018630357925,0.190581891743932,0
"15",15,26.5438702399842,25.2878654596861,31.8745350465178,0.119084644247778,30.1978224283084,42.6885065494571,0.564020032586996,0.560395486431662,6.58563427440822,5.82139174640179,18.7101195356809,54.2151160677895,29.4271606206894,22.5868427264504,0.537441033520736,0.734792961063795,0.284653394995257,0.485532857966609,0.711123091331683,0.47759568891488,0.490795702859759,0.49871669486165,0.160956495837308,0.171720691781957,0
"16",16,38.4973745560274,36.6052905924153,19.0590393729508,0.103258724370971,43.9637697534636,44.6950647316407,0.64039573619375,0.552819789666682,4.14869280066341,6.80629755090922,16.2068295502104,59.6569997863844,29.6371788741089,24.8760562040843,0.540524005214684,0.73940196770709,0.341470889374614,0.528432693774812,0.706934716063552,0.531923008034937,0.529528464889154,0.533666141377762,0.168868315941654,0.168512742815074,0
"17",17,28.6913160153199,33.3949761884287,28.0542493537068,0.184719447791576,44.5924547733739,31.70984497061,0.609351634513587,0.518284797668457,4.46576339006424,7.02237670775503,14.9113399500493,54.2700371728279,23.2144791679457,29.4166323309764,0.519336092681624,0.783999126311392,0.365118691138923,0.521401363355108,0.791950896871276,0.475293305958621,0.455472796596587,0.47091028438881,0.157813589065336,0.18992341067642,0
"18",18,25.6308930029627,34.6219395881053,19.8781973943114,0.142445725598373,39.6876972727478,34.7097226919141,0.55059738898417,0.648591964424122,6.06630929280072,6.11123003996909,16.312406109646,59.4670380908065,26.7592914612032,29.0993143385276,0.45005775266327,0.775721021927893,0.35566163957119,0.457369757071137,0.789385349489748,0.484072960005142,0.529429872194305,0.471223301603459,0.19500049384078,0.181820965453517,0
"19",19,29.9188107892405,32.0264817797579,21.2392355203629,0.181720343860798,30.7495951326564,44.1701509687118,0.57184621791821,0.640359457361046,7.48519333731383,4.06509170494974,15.4840212955605,57.9919169144705,21.2332451483235,29.5211917161942,0.528844501986168,0.707736523030326,0.241103644436225,0.504840106400661,0.763013970339671,0.52630571257323,0.488271070737392,0.535038793087006,0.15254306740826,0.160108528356068,1
"20",20,39.3175547372084,29.1883571597282,16.056567914784,0.115165999322198,33.1791823683307,39.6231732959859,0.644825354404748,0.640854477579705,4.41028440464288,4.3068974846974,23.0606045201421,52.4704744690098,27.098469871562,28.680970761925,0.532961412076838,0.707134704408236,0.211327700596303,0.47941610570997,0.730587892746553,0.484124713111669,0.490116225136444,0.479896533442661,0.184924676525407,0.193360483262222,1
"21",21,38.3430897409562,31.9182485551573,31.9587862975895,0.140584410564043,29.0315529610962,44.6913302794565,0.637055591016542,0.561122315376997,7.86830981168896,6.68625603243709,14.0946461097337,54.9421252729371,27.6537062809803,27.3440258135088,0.494620264554396,0.727059669955634,0.275637346040458,0.529754792456515,0.720654329983518,0.482142269890755,0.489141841139644,0.487899161456153,0.163757330761291,0.196083094982896,0
"22",22,35.392051092349,36.8910751258954,23.0089520700276,0.17225089315325,40.3317271824926,44.5801801141351,0.534211872075684,0.61582704950124,7.79596850741655,6.87514303717762,15.8998358261306,58.6329085193574,23.3156371582299,23.656222152058,0.464705686573871,0.718232347234152,0.200561063317582,0.462142481817864,0.725170940347016,0.476236462523229,0.451951564941555,0.533354783453979,0.199824472540058,0.178973549767397,1
"23",23,34.6076022065245,33.7834836449474,31.9630199186504,0.105963382846676,39.8620987962931,40.9582698263694,0.546088925667573,0.558232296979986,7.74691041372716,5.82594992034137,23.3839989290573,52.2248331899755,22.1636146353558,28.1383686256595,0.498100543231703,0.723000914021395,0.332636197656393,0.465296252211556,0.762088928045705,0.456087855552323,0.498790370160714,0.498252235795371,0.160229923774023,0.192855357984081,1
"24",24,39.9140466493554,30.9213847876526,19.1475067064166,0.133034922322258,34.9692276166752,35.8776426699478,0.552002780803014,0.504894186172169,7.03440161142498,4.8938165307045,22.3458988836501,50.904524247162,24.4918651762418,24.4201387302019,0.46940721233841,0.739050960540771,0.396988933579996,0.542154576163739,0.740066855284385,0.49254069624003,0.469797617546283,0.495754802739248,0.18299794413615,0.191215796291363,0
"25",25,34.8355869867373,37.1685602446087,17.783628731966,0.177676400193013,38.4099919116125,39.951935573481,0.506557985080872,0.559432143333834,4.086017081514,6.90275380387902,20.883663892746,50.7787106651813,23.941957061179,21.5562202199362,0.509874602756463,0.792350818077102,0.334920383337885,0.54742428928148,0.787152944132686,0.501751954876818,0.53619993396569,0.467478385125287,0.177119853300974,0.17255072472617,0
