"","simulacao","acoes_educacionais","consultas","absenteismo","alto_risco","acoes_altorisco","consultas_altorisco","indireta_enf","indireta_med","ferias","feriados","coleta_ex","visita","consulta_puerp","consulta_cd","enf_acoes","enf_coleta","enf_coleta_cito","enf_prenatal","enf_imunizacao","enf_puerperal","enf_visita","enf_cd","ist_enf","ist_med","todos","ans_tipo","cenario_oferta"
"1",1,29.3136628018692,30.3040911396965,20.3779637478292,0.193802826153114,28.1934796040878,42.8029752289876,0.530874038033653,0.536224082356785,5.21785673964769,4.42016696743667,13.7294482195284,51.3201466738246,24.4026102102362,26.9840347953141,0.543034086143598,0.707732541207224,0.315582012245432,0.507855396950617,0.779796415753663,0.493497316446155,0.48105916925706,0.482675532973371,0.154367698624264,0.197681386966724,1,"diminuicao","cenario_base"
"2",2,36.8245770316571,30.4966216743924,25.5018709227443,0.198800330539234,27.8903170255944,39.9900992412586,0.641380857117474,0.561616730422247,7.33127512782812,5.61002240329981,24.841947631212,54.9796755914576,23.9739215257578,28.5175011307001,0.509104488790035,0.770133013743907,0.297769086249173,0.499912252044305,0.787913597887382,0.50921235291753,0.482452005706728,0.480437474604696,0.170657565526199,0.170193838269915,1,"diminuicao","cenario_reducao10"
"3",3,31.1346538271755,29.3065019603819,18.5629570148885,0.145631956099533,27.9836078407243,40.9999001899268,0.556898568791803,0.621676251804456,6.3745900336653,5.82270634919405,20.7568285358138,51.8629999062978,23.7154765380546,24.6905122720636,0.457974531780928,0.784668139391579,0.348438088782132,0.512193254637532,0.724246230488643,0.507092856499367,0.537025417783298,0.473895252123475,0.154902889742516,0.175305637856945,0,"diminuicao","cenario_reducao20"
"4",4,38.245261060074,26.1995936848689,29.6548838205636,0.1230614943197,35.2886851970106,34.7211052395869,0.593936021183617,0.556871183891781,7.22878656536341,6.49858098570257,19.775924324058,52.4049732554704,25.288085732609,22.6004763017409,0.53450185675174,0.766841048118658,0.245121797174215,0.524934064201079,0.755952882161364,0.47494250962045,0.482867377949879,0.478448693710379,0.195807744120248,0.167803978663869,0,"aumento","cenario_reducao20"
"5",5,39.1070092644077,30.4818140435964,29.5638265237212,0.169548926851712,34.8565461253747,40.0157691026106,0.527525360288564,0.567042534577195,5.17620311118662,4.31542112026364,13.60834310879,58.0850357632153,20.7378541189246,27.9532520682551,0.452978437230922,0.775421537947841,0.349778213398531,0.520066830771975,0.790477355290204,0.498036456480622,0.462570123630576,0.457253002445213,0.153230358823203,0.191787241294514,1,"constante","cenario_base"
"6",6,25.683347490849,27.6702072191983,23.6461890004575,0.155663234461099,37.3268553707749,36.9583006727044,0.598881142749451,0.585576167376712,4.56434088665992,5.36793089844286,11.3018913206179,56.7855576006696,27.1684976830147,24.2516110022552,0.531465971958824,0.777884956775233,0.364973702421412,0.466516493819654,0.700819856929593,0.484026407380588,0.485622143070214,0.533440187387168,0.16949749836931,0.19840973255923,0,"constante","cenario_reducao20"
"7",7,32.9215823207051,33.0408058094326,28.3790739588439,0.158471008948982,33.9484578138217,39.7542439692188,0.61020393660292,0.519681855395902,7.55448441021144,4.09474516287446,14.4501442066394,59.6918924641795,22.4281235248782,28.6876432551071,0.489074946101755,0.737924857879989,0.219908675784245,0.526147229620256,0.716349922516383,0.491457153856754,0.543069918616675,0.457815430732444,0.190243914944585,0.162549086811487,1,"aumento","cenario_base"
"8",8,38.3862856659107,32.5592306803446,20.7264012880623,0.14336312469095,26.1135343043134,41.7866281222086,0.574351914948784,0.501952755276579,4.0331400167197,5.36606575362384,18.1310320273042,51.3844265346415,28.4449986903928,26.2884825770743,0.464340453385375,0.735443080589175,0.255174273438752,0.503695437731221,0.725982832512818,0.497897010832094,0.537517854874022,0.523293544654734,0.169202896079514,0.19147052828921,0,"constante","cenario_reducao10"
"9",9,33.2715252169874,39.1755265521351,17.0500497892499,0.142617505276576,25.1079261908308,43.5255630116444,0.630307811568491,0.601650459121447,6.27648261189461,7.13344489317387,21.7097246949561,54.5055134315044,29.953182679601,24.5138472318649,0.516655776323751,0.749212177959271,0.204275355208665,0.51592109457124,0.777276543038897,0.503226991277188,0.532021669577807,0.489588198252022,0.155612800188828,0.186383248330094,0,"constante","cenario_reducao10"
"10",10,31.8492210295517,30.119819259271,23.048529997468,0.159685439546593,29.4366840226576,37.9111132223625,0.624775691668037,0.625273341638967,7.87020075973123,6.96484092716128,14.0776229882613,54.8956995666958,21.0501058050431,25.2002414362505,0.511858616536483,0.705733957374468,0.319248593365774,0.497429838427343,0.707108696084469,0.46556275554467,0.452177202072926,0.545411223731935,0.157991491083521,0.18912511006929,1,"constante","cenario_reducao10"
"11",11,39.3525001802482,31.9707066123374,23.393581725657,0.145208558486775,42.0192644791678,32.3716357257217,0.647494823799934,0.640439522173256,5.07675505336374,7.2646844368428,14.757580900332,55.4261693684384,24.8507704911754,29.7413278906606,0.494876322848722,0.7687366156606,0.397256877319887,0.511844484182075,0.789576734160073,0.465137530583888,0.513123686774634,0.539485835004598,0.186603003088385,0.187271101772785,1,"diminuicao","cenario_base"
