"","simulacao","acoes_educacionais","consultas","absenteismo","alto_risco","acoes_altorisco","consultas_altorisco","indireta_enf","indireta_med","ferias","feriados","coleta_ex","visita","consulta_puerp","consulta_cd","enf_acoes","enf_coleta","enf_coleta_cito","enf_prenatal","enf_imunizacao","enf_puerperal","enf_visita","enf_cd","todos"
"1",1,25.7515504024923,26.2118338514119,23.8579742237926,0.108789229672402,29.0298797562718,33.198696069885,0.542324203578755,0.528088425809983,6.74113728757948,7.33805925399065,16.0240987525322,54.9074446584564,23.4890751098283,26.7899358319119,0.516066276538186,0.753601116593927,0.356634908122942,0.542612915928476,0.771673364052549,0.47417188717518,0.510449273535051,0.468154010176659,1
"2",2,35.7661027088761,26.4904011413455,12.8356904573739,0.177961148135364,44.5638068113476,36.6550109325908,0.578548252070323,0.525145272747613,6.51049225404859,6.86092401016504,10.22851689253,50.5644227424636,22.5528159947135,28.732669998426,0.477244364959188,0.764898266247474,0.201708176964894,0.507414268166758,0.705951950489543,0.504542627534829,0.50197372045368,0.522006824612617,1
"3",3,28.179538436234,37.4050835566595,14.9401441402733,0.128116732090712,33.2542492682114,31.9224645139184,0.56018533827737,0.596101292490493,7.0586296254769,5.6463274108246,18.2056246488355,59.1494377877098,25.1091102510691,23.6151151359081,0.476077607041225,0.766919177328236,0.267169267125428,0.526581321610138,0.750730819255114,0.514196270797402,0.546643087663688,0.544975574943237,0
"4",4,37.6603480800986,26.5734755899757,10.5683345831931,0.154969904082827,34.5062496140599,37.1703728358261,0.508193409722298,0.644353897986002,7.48910385463387,7.85161890368909,10.3656944842078,53.6944364570081,21.0719559481367,20.0315194320865,0.518661400792189,0.784492423385382,0.307910042954609,0.461970448028296,0.722230801451951,0.536331388121471,0.530397475603968,0.547602180927061,0
"5",5,38.8093456858769,22.5140247261152,21.1684273816645,0.119460685411468,25.3542080288753,40.7861522748135,0.529518063575961,0.599528046476189,5.22319801989943,6.23404686059803,12.3504938348196,52.4097687355243,23.9123878185637,21.8311213166453,0.51107892554719,0.758648192835972,0.239839955139905,0.549100939463824,0.749123100680299,0.506533926539123,0.497632541321218,0.520928669255227,0
"6",6,20.9111299877986,27.1244286140427,11.3294488340616,0.133943982678466,32.3615604452789,43.587112716632,0.533871124545112,0.545965268916916,7.12321620248258,5.67649680096656,18.7053885613568,59.8381277604494,20.9222138812765,25.0479739368893,0.474644583021291,0.793273261096329,0.264704293757677,0.465911678527482,0.711472060089,0.537692051753402,0.539038507058285,0.466428315453231,1
"7",7,30.5621097609401,38.613983723335,12.5594554431736,0.183464340306818,25.9535394562408,40.4667857824825,0.511918658576906,0.53430064037675,5.89681181125343,5.64270668383688,12.094635469839,57.8193797729909,24.6546221966855,29.5649374742061,0.474387506302446,0.749351306119934,0.361903215758502,0.456689605838619,0.733440011879429,0.498569033155218,0.497878254251555,0.484146611043252,0
"8",8,37.8483808878809,37.5035709748045,16.7393422424793,0.13473486462608,34.176690406166,38.9594012196176,0.535068504745141,0.636634638288524,5.62293014023453,6.70859533175826,15.7890195236541,50.014338651672,23.2004301343113,28.6734015494585,0.503203769912943,0.794130099355243,0.232249782048166,0.520715567446314,0.797012855345383,0.45451263897121,0.47467962121591,0.469464229536243,1
"9",9,31.0287002893165,36.4043339155614,17.4247264638543,0.173208983405493,27.7222071262076,38.7339405273087,0.581611209968105,0.585726586356759,7.61425008811057,6.88065392244607,14.4379592966288,56.7865343845915,29.8413080652244,29.3573571601883,0.485684613278136,0.717942009307444,0.373928178427741,0.461856376053765,0.73164656877052,0.459525915328413,0.516927212965675,0.469058156828396,0
"10",10,29.1322947060689,20.4354404145852,15.0760508514941,0.117103608301841,34.6307739056647,37.2074294881895,0.505737423570827,0.600893879937939,4.20965770073235,4.0923085976392,13.6720988154411,52.5459342543036,24.9459059070796,22.5209618895315,0.459075264073908,0.746136832307093,0.245825072517619,0.505817043199204,0.707530384906568,0.507611964805983,0.473257404472679,0.469316065497696,0
"11",11,39.1366669069976,32.6247373549268,21.9388772025704,0.191704188752919,25.957888928242,34.7160515387077,0.549351765494794,0.624937553727068,5.65386584494263,7.33624369837344,19.8799637821503,55.2068854111712,22.0904207532294,21.6453375178389,0.469797091279179,0.770201114821248,0.285985108325258,0.485587835707702,0.784557211026549,0.51798253369052,0.540946194855496,0.494531035749242,1
"12",12,29.0666831238195,35.6183259934187,9.85819410532713,0.103851682622917,29.657427710481,43.9473688881844,0.521066831541248,0.645569735893514,5.35858219861984,6.86815828736871,17.9060375317931,45.7849529141095,20.5841745622456,25.5214688484557,0.453171230270527,0.73838806329295,0.284508464718238,0.45524908953812,0.777438525855541,0.501545310765505,0.473540174798109,0.514339493541047,1
"13",13,33.5514127090573,34.344891118817,22.660492606461,0.106847170810215,34.6052033500746,35.2484096924309,0.557088606851175,0.596137139201164,7.56418458558619,6.07535062544048,10.0866689509712,52.9871321911924,21.5212069661357,21.9912650831975,0.506493549793959,0.791332048596814,0.271867917012423,0.521997272293083,0.713456201041117,0.460754013969563,0.503056465880945,0.492719231802039,1
