"","uf_sigla","cod_regsaude","regiao_saude","nec_med","oferta_med","rr_med","ra_med","ano","nec_enf","oferta_enf","rr_enf","classificacao","cenario"
"1","AC",12001,"Alto Acre",18.8841886341414,5.99025823558921,31.7210252007291,-12.8939303985522,2023,20.5005938697318,8.35005693445769,40.7308051050471,"Ambos déficit","Cenário 1"
"2","AC",12002,"Baixo Acre e Purus",86.2474363759984,18.4732016636742,21.4188414634606,-67.7742347123242,2023,125.899109195402,23.7910036916423,18.8968800841294,"Ambos déficit","Cenário 1"
"3","AC",12003,"Juruá e Tarauacá/Envira",45.5627240794397,12.9907917201054,28.5118854997686,-32.5719323593344,2023,72.9603352490421,20.1941632534856,27.6782764012186,"Ambos déficit","Cenário 1"
"4","AL",27001,"1ª Região de Saúde",194.951167467326,41.3244514565895,21.1973346933229,-153.626716010737,2023,262.59933908046,40.58890296788,15.4565899175564,"Ambos déficit","Cenário 1"
"5","AL",27002,"2ª Região de Saúde",24.9588039693766,9.44904369152869,37.8585596614416,-15.5097602778479,2023,37.6039559386973,9.46537738848898,25.1712277397613,"Ambos déficit","Cenário 1"
"6","AL",27003,"3ª Região de Saúde",32.5799408664457,11.5539168368513,35.4632836327543,-21.0260240295944,2023,45.3959674329502,13.7074021467993,30.1951977717956,"Ambos déficit","Cenário 1"
"7","AL",27004,"4ª Região de Saúde",15.9776241084893,6.78174623760354,42.4452734120852,-9.19587787088579,2023,26.9335153256705,6.5735347303087,24.4065234367807,"Ambos déficit","Cenário 1"
"8","AL",27005,"5ª Região de Saúde",31.1270348786101,11.1287216536519,35.7525915881544,-19.9983132249583,2023,40.7011590038314,12.3491744751328,30.3410880116959,"Ambos déficit","Cenário 1"
"9","AL",27006,"6ª Região de Saúde",26.300484011052,10.0550604866318,38.2314655593655,-16.2454235244202,2023,41.6028927203065,10.1890003979665,24.4910863926374,"Ambos déficit","Cenário 1"
"10","AL",27007,"7ª Região de Saúde",77.0158743131551,24.6903089293271,32.0587270475351,-52.325565383828,2023,118.777260536398,25.056831733946,21.0956471135883,"Ambos déficit","Cenário 1"
"11","AL",27008,"8ª Região de Saúde",21.9132548611955,6.74296803172586,30.7711842646728,-15.1702868294697,2023,33.8174329501916,8.81942064650107,26.0795095224728,"Ambos déficit","Cenário 1"
"12","AL",27009,"9ª Região de Saúde",35.8286555154116,11.1441150390721,31.1039163450565,-24.6845404763395,2023,57.6988409961686,13.1221112884542,22.7424174591749,"Ambos déficit","Cenário 1"
"13","AL",27010,"10ª Região de Saúde",26.3089789230624,9.31939778709795,35.4228790647917,-16.9895811359645,2023,35.2485057471264,10.1200333358177,28.7105314716574,"Ambos déficit","Cenário 1"
"14","AM",13001,"Manaus, Entorno e Alto Rio Negro",381.352260926539,119.908493565662,31.4429743445943,-261.443767360877,2023,611.922634099617,153.498448041778,25.0846168270333,"Ambos déficit","Cenário 1"
"15","AM",13002,"Rio Negro e Solimões",49.6750373873308,15.3074469178434,30.8151693948145,-34.3675904694874,2023,79.7733524904215,22.2231752687509,27.8578931121383,"Ambos déficit","Cenário 1"
"16","AM",13003,"Rio Madeira",44.59386926807,14.8097718778005,33.2103316462036,-29.7840973902695,2023,49.0167337164751,20.2997428069741,41.4139035138343,"Ambos déficit","Cenário 1"
"17","AM",13004,"Médio Amazonas",39.7666172361414,10.6148450540037,26.6928539356787,-29.1517721821377,2023,44.4665325670498,14.4382629916485,32.4699547235383,"Ambos déficit","Cenário 1"
"18","AM",13005,"Baixo Amazonas",69.6250321725998,13.1705151418326,18.9163505291934,-56.4545170307672,2023,68.5983812260536,24.0794266734516,35.1020333761262,"Ambos déficit","Cenário 1"
"19","AM",13006,"Regional Purus",35.4718901020112,8.41239499473529,23.7156660401875,-27.0594951072759,2023,38.0785153256705,15.272240651437,40.1072376924875,"Ambos déficit","Cenário 1"
"20","AM",13007,"Regional Juruá",26.254377283348,6.97782847466396,26.5777717725177,-19.276548808684,2023,39.3581513409962,10.9728506414855,27.8794868854929,"Ambos déficit","Cenário 1"
"21","AM",13008,"Triângulo",46.4630329307807,10.7331446137084,23.100396028168,-35.7298883170722,2023,49.1766570881226,19.3317710461293,39.3108685925673,"Ambos déficit","Cenário 1"
"22","AM",13009,"Alto Solimões",91.26524115179,17.8097836020171,19.5143116670193,-73.4554575497729,2023,98.4461685823755,39.7491771480064,40.3765608356267,"Ambos déficit","Cenário 1"
"23","AP",16001,"Área Central",131.030543821162,30.2567187803207,23.091347939162,-100.773825040841,2023,130.718965517241,46.8718806038544,35.8569855708292,"Ambos déficit","Cenário 1"
"24","AP",16002,"Área Norte",17.2614942900117,3.49947657512117,20.2733118948232,-13.7620177148905,2023,19.2984770114943,8.16964135702747,42.3330885238332,"Ambos déficit","Cenário 1"
"25","AP",16003,"Área Sudoeste",35.4928114614419,10.3009825098506,29.0227290701984,-25.1918289515913,2023,49.2522030651341,14.9897763415256,30.4347326792717,"Ambos déficit","Cenário 1"
"26","BA",29001,"Alagoinhas",60.9589869236524,23.4832243514118,38.5229898600893,-37.4757625722406,2023,86.8755363984674,24.586329684889,28.3006364094492,"Ambos déficit","Cenário 1"
"27","BA",29002,"Barreiras",71.3562566671119,28.4251029063776,39.8354737678928,-42.9311537607342,2023,114.060028735632,28.4019459997329,24.9008757183139,"Ambos déficit","Cenário 1"
"28","BA",29003,"Brumado",62.1259426732946,26.7604395322962,43.0745005722053,-35.3655031409983,2023,69.9430842911877,29.8697953155635,42.7058595117271,"Ambos déficit","Cenário 1"
"29","BA",29004,"Camaçari",71.6568145772761,32.059579050196,44.7404468637415,-39.5972355270802,2023,110.560900383142,26.0235170007608,23.5377216634253,"Ambos déficit","Cenário 1"
"30","BA",29005,"Cruz das Almas",37.5608298342946,15.1572258944114,40.3538099698005,-22.4036039398832,2023,41.3874521072797,17.1954561224117,41.5475107717182,"Ambos déficit","Cenário 1"
"31","BA",29006,"Feira de Santana",127.011250955245,46.739240294486,36.7992913564449,-80.2720106607591,2023,203.868151340996,51.1142229900714,25.072196247356,"Ambos déficit","Cenário 1"
"32","BA",29007,"Guanambi",65.6163845062066,33.0088122594892,50.3057468159754,-32.6075722467174,2023,78.1033908045977,35.6094244686898,45.5926741487818,"Ambos déficit","Cenário 1"
"33","BA",29008,"Ibotirama",25.5826133309119,8.89872073782266,34.7842521900223,-16.6838925930892,2023,38.3353735632184,9.5446733807632,24.897822803326,"Ambos déficit","Cenário 1"
"34","BA",29009,"Ilhéus",40.0189151133305,15.765155063693,39.3942589873996,-24.2537600496375,2023,56.2987068965517,17.2387785182086,30.6202033199175,"Ambos déficit","Cenário 1"
"35","BA",29010,"Irecê",47.2404407308441,19.8920865447186,42.1081730758086,-27.3483541861255,2023,80.6683141762452,20.0567240672407,24.8631997235252,"Ambos déficit","Cenário 1"
"36","BA",29011,"Itaberaba",40.6959346663902,15.1958227277672,37.3399034875025,-25.500111938623,2023,42.7702873563218,16.6419150622349,38.90999123665,"Ambos déficit","Cenário 1"
"37","BA",29012,"Itabuna",77.4029748673922,23.1670055507965,29.93038134579,-54.2359693165957,2023,76.9455076628353,27.4259024358865,35.6432795999776,"Ambos déficit","Cenário 1"
"38","BA",29013,"Itapetinga",36.2968756195307,11.0308752801825,30.3907019320611,-25.2660003393482,2023,36.277337164751,13.0481183064425,35.9676848584155,"Ambos déficit","Cenário 1"
"39","BA",29014,"Jacobina",57.1645409570011,22.3307541323453,39.0639962440045,-34.8337868246558,2023,62.8599521072797,26.0468294487878,41.4362858634304,"Ambos déficit","Cenário 1"
"40","BA",29015,"Jequié",88.5661703535621,23.2610766432726,26.2640651056863,-65.3050937102895,2023,85.9313314176245,29.3543759487823,34.1602713056087,"Ambos déficit","Cenário 1"
"41","BA",29016,"Juazeiro",80.8926708944356,32.8792782051911,40.6455589136108,-48.0133926892444,2023,122.551791187739,31.098630796672,25.3759088261969,"Ambos déficit","Cenário 1"
"42","BA",29017,"Paulo Afonso",32.0196421703691,10.2740401921107,32.0866802241104,-21.7456019782583,2023,47.5426819923372,13.0021169966291,27.3483035700947,"Ambos déficit","Cenário 1"
"43","BA",29018,"Porto Seguro",55.2837543077172,17.3602013585638,31.4019942674921,-37.9235529491535,2023,89.6541666666667,20.6222474153697,23.0019955369648,"Ambos déficit","Cenário 1"
"44","BA",29019,"Ribeira do Pombal",36.8726465983765,11.5835154602369,31.4149282160478,-25.2891311381395,2023,51.1985632183908,15.4199361789052,30.1179080223998,"Ambos déficit","Cenário 1"
"45","BA",29020,"Salvador",295.056770196863,112.556848044695,38.1475225833988,-182.499922152168,2023,473.574904214559,107.110880410618,22.6175161431463,"Ambos déficit","Cenário 1"
"46","BA",29021,"Santa Maria da Vitória",40.0187346966259,15.6676779113524,39.1508577922963,-24.3510567852736,2023,63.0578927203065,16.9725465383463,26.9158162541651,"Ambos déficit","Cenário 1"
